Post ID,Title,Question,User ID,Vote Score,Answer Count,View Count,Date,URL,Full URL
1,How to keep Internet of Things projects secure? [closed],"
I want to experiment with the use of sensors for data logging and potentially for automated actions based on data properties. An example of the latter is if a value being monitored exceeds a threshold for X amount of intervals, some kind of notification or response is triggered, whether an LED lighting up or email being sent out.
I'm not an expert about sensors, networking, IoT, robotics, scripting, machine learning, or programming in general. That's all part of the learning process. I know enough to know security is important and easier to achieve if it's a goal from the beginning. So my question as I embark on this learning excursion is, what do I need to be aware of or control for to keep these systems safe as I create and experiment with them? If that question is so broad a book answers it, could you recommend a learning resource? Where does one start for learning how to keep home brewed IoT systems secure?
I realize this depends on two major things: security is harder as complexity increases; and security depends on threat models. Well, my simple sensor systems are bound to get more complex if I pursue more significant projects with them, thus the importance of good security that scales from the start. As for threat models, I don't anticipate enemies and these would all be relatively low-value and plentiful targets (many sensors monitoring basic things) but I do expect there are malicious agents seeking to control any processing power they can or disrupt systems just for the sake of chaos. Lastly as an importart part of the threat model is physical security, because if I put a sensor outside with a solar panel to power it, how do I stop mischievous kids or crooks from destroying or stealing the technology?
",1,3,5,175 times,2018-02-02 20:45:41Z,/questions/179009/how-to-keep-internet-of-things-projects-secure,https://security.stackexchange.com/questions/179009/how-to-keep-internet-of-things-projects-secure
2,How safe are wifi enabled talking toys?,"
There have been ads on the radio recently for a wifi enabled toy called Talkies, which are advertised as being able to communicate with app enabled phones, with a ""trusted circle"" that other phones can be added to.
(Obligatory photo of a cute wifi enabled critter)

Especially considering the Krack vulnerability, and the known process of ""grooming"" a child that a sexual or other predator goes through to gain their trust and exploit them (Here is a story about how Snapchat was used), is this a toy that I should steer away from for my child? (3 years old currently)
",17,50,6,"10,796 times",2017-10-31 19:19:44Z,/questions/172553/how-safe-are-wifi-enabled-talking-toys,https://security.stackexchange.com/questions/172553/how-safe-are-wifi-enabled-talking-toys
3,Should firmware images for IoT be encrypted for security reasons?,"
When working with Internet of Things devices, is it recommend to obfuscate or encrypt firmware images pushed to clients? This to make reverse engineering harder.
(They should be signed of course)
",31,27,8,"5,315 times",2018-02-05 11:27:54Z,/questions/168620/should-firmware-images-for-iot-be-encrypted-for-security-reasons,https://security.stackexchange.com/questions/168620/should-firmware-images-for-iot-be-encrypted-for-security-reasons
4,Could IOT Botnets be Stopped by Static IP addressing the Devices?,"
I followed the recent IOT DDOS against Dyn and noticed that the attack seemed have three rounds of attack and mitigation. Since I'm not well versed in infosec I did some reasearch around DDOS mitigation techniques. From what I could tell it seems mitigation is essential heuristic traffic analysis to filter out humans from bots then IP banning.  Separately, I also noticed that in almost all the media had the same conclusion that IOT devices are insecure and can't/won't be patched for years. If these two assumptions are true, DDOS mitigation in its rawest since is IP filtering, and we are stuck with millions of infected IOT devices (and adding millions more devices that will one day likely be infected), wouldn't it make sense to start giving IOT devices a static IP, and then when it's detected as participating in a DDOS share the IP to others and block it?
",39,4,5,"2,163 times",2016-10-26 19:39:44Z,/questions/140984/could-iot-botnets-be-stopped-by-static-ip-addressing-the-devices,https://security.stackexchange.com/questions/140984/could-iot-botnets-be-stopped-by-static-ip-addressing-the-devices
5,How can I secure my security cameras?,"
I have dozens of cheap security cameras in my offices. I was under the assumption that, once I changed the admin password, disabled the insecure ""P2P Mode"", disabled UPNP, disabled guest access and changed default ports I was safe.
After the Mirai hack, I was shocked to see that my ""security"" camera it's accessible via telnet with root:xc3511.

Now, the telnet port shouldn't be forwarded outside by the router, but still it's a problem. What if some PC on the LAN gets infected by some malware?
",41,3,5,515 times,2016-10-25 19:02:32Z,/questions/140842/how-can-i-secure-my-security-cameras,https://security.stackexchange.com/questions/140842/how-can-i-secure-my-security-cameras
6,Does the local network need to be hacked first for IoT devices to be accessible?,"
I completely understand how IoT devices were used in the massive DDoS attacks because they are easily manipulated due to lack of firewalls, default passwords, etc.
What I don't understand is although easily hacked, most IoT devices are connected to secured private wifi networks. 
Here's the question: So is it assumed that these thousands of IoT devices' networks were hacked first, then the device itself was hacked? 
",63,56,10,"10,257 times",2018-01-22 19:20:57Z,/questions/140760/does-the-local-network-need-to-be-hacked-first-for-iot-devices-to-be-accessible,https://security.stackexchange.com/questions/140760/does-the-local-network-need-to-be-hacked-first-for-iot-devices-to-be-accessible
7,Cloud-based DDoS as a Service,"
With the consolidation of cloud computing and virtualization, a really simple doubt comes to my mind: why isn't DDoS being largely offered as a service? Why don't we see cloud-based DDoS attacks? 
vDOS, LizardStresser and others offered a way in which you could pay to attack a target but they used their own infrastructure. 
It seems safer and simpler to just charge a client, use part of that money to rent servers on an IaaS provider and build a cloud-based botnet. That way one could start an attack from inside the provider to a specific target without even using their own structure. This could even be used for spoofing of attacks in general. Is there any particular reason why this doesn't happen? 
I have no idea how difficult it is to build a botnet in either context (standard or cloud-based), if getting caught in the cloud would be easier or if this could just be a matter of profit.
Thanks in advance.
",73,18,5,"5,624 times",2017-04-25 03:19:47Z,/questions/158047/cloud-based-ddos-as-a-service,https://security.stackexchange.com/questions/158047/cloud-based-ddos-as-a-service
8,Can secrets be made safe in memory?,"
Say, I am running an application on a cloud server such as AWS. Suppose I supply a key at run-time (so its not stored anywhere alongside/inside code), is there a way to secure this key in memory?
So if an attacker gets access to the remote server at a later time, he still should not be able to extract the key from memory. Are there any ways to achieve this? Or is it known to be theoretically impossible?
The technique discussed here, transparent runtime security, is claimed to make it ""difficult"", but it may still be computationally feasible.
EDIT: Hardware based solutions are also ok.
",75,8,5,306 times,2016-05-03 09:46:37Z,/questions/122189/can-secrets-be-made-safe-in-memory,https://security.stackexchange.com/questions/122189/can-secrets-be-made-safe-in-memory
9,What are some considerations before moving personal data to Google Drive?,"
I am considering uploading some (all) of my digital personal data to Google Drive. I guess this would instantly grant access for NSA to my data. (Is that right?)
Who would have access to my data on my gDrive? After deleting some files on the Drive, will they actually be deleted? 
",88,47,8,"8,923 times",2014-07-07 08:16:48Z,/questions/62599/what-are-some-considerations-before-moving-personal-data-to-google-drive,https://security.stackexchange.com/questions/62599/what-are-some-considerations-before-moving-personal-data-to-google-drive
10,How to mitigate SSL based DDoS attacks?,"
as you probably know the problem with SSL based DDoS attacks is, that the traffic cannot be analysed and filtered by a DDoS mitigation service provider such as Prolexic, Akamai, Radware, etc. without having the key to decrypt the traffic. 
I recently spoke with on of the above mentioned companies employees (Lets say company A) and they said that the only way is to use one of their products, wich is located in your network and its purpose is to deliver content via ssl and send all traffic in plaintext to the defense solution (same company, also internal network) which then in turn gives the filtered ""good traffic"" to your internal webservers.
Other companies have the approach that you handout your ssl key to them, so they can decrypt and analyze your traffic and pass the clean traffic on to your servers.
Company A stated, that the later is a absolute nogo and that it shouldn't even be considered. Problem is, their solution can only filter as much traffic as your infrastructure and their appliance can handle while cloud solutions have much higher capacities.
So the question is, is there another way of mitigating SSL based DDoS attacks, is handing out your ssl key really that bad and why?
I know that there already was a question on ""storing keys in the cloud - trusting the cloud provider vs. your own laptop, etc."" so I'm sorry if some of this is a duplicate, but the answers there didn't really answer my question.
",97,5,5,"6,024 times",2015-07-23 11:09:17Z,/questions/45410/how-to-mitigate-ssl-based-ddos-attacks,https://security.stackexchange.com/questions/45410/how-to-mitigate-ssl-based-ddos-attacks
